Similarity;ChEMBL ID;Smiles
43,54838729;CHEMBL208979;Cc1c(NC(=O)Nc2nccs2)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL259176;Cc1c(NC(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)c(=O)n(-c2ccccc2)n1C
45,16128898;CHEMBL1334360;Cc1c(NC(C)c2cc(Cl)ccc2O)c(=O)n(-c2ccccc2)n1C
41,53846204;CHEMBL1524955;COc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c(OC)c1
43,13725531;CHEMBL1318543;O=C(Nc1ccc(Cl)cc1)Nc1ccc(Oc2ccccc2)cc1
52,54237056;CHEMBL2143994;CCOc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
41,26984179;CHEMBL1402886;Cc1c(NC(=O)CSc2ccccc2Cl)c(=O)n(-c2ccccc2)n1C
40,29850662;CHEMBL1892862;CC(C)CCN1C(=O)N(c2ccccc2)C(=O)C1CC(=O)Nc1ccc(Cl)cc1
40,0000006;CHEMBL1076347;O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1
43,28358173;CHEMBL4976481;Cc1c(NC(=O)c2ccccc2NS(=O)(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
42,85714328;CHEMBL4520964;CC(C)NC(=O)Nc1ccc(Cl)cc1
47,54098356;CHEMBL1329578;Cc1c(NC(=O)CSc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
44,44444478;CHEMBL505456;Cc1c(NC(=O)c2sc(=S)n(-c3ccc(Cl)cc3)c2NC(=S)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
69,09090877;CHEMBL211957;Cc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(-c3ccccc3)c2=O)cc1F
41,26984179;CHEMBL4910161;Cc1c(NC(=O)c2n[nH]cc2Cl)c(=O)n(-c2ccccc2)n1C
43,63636374;CHEMBL1901528;Cc1c(NC(=O)c2ccc(C(=O)Nc3c(C)n(C)n(-c4ccccc4)c3=O)cc2)c(=O)n(-c2ccccc2)n1C
