mols dock_score ligand_efficiency
CHEMBL208884.sdf -9.27 -0.3433333333333333
CHEMBL209995.sdf -8.66 -0.3092857142857143
CHEMBL210298.sdf -8.71 -0.3225925925925926
CHEMBL210303.sdf -9.53 -0.28878787878787876
CHEMBL211220.sdf -8.57 -0.2856666666666667
CHEMBL211595.sdf -9.04 -0.2916129032258064
CHEMBL211957.sdf -9.2 -0.30666666666666664
CHEMBL212109.sdf -8.58 -0.30642857142857144
CHEMBL212113.sdf -8.63 -0.29758620689655174
CHEMBL212116.sdf -8.66 -0.3092857142857143
CHEMBL214216.sdf -8.63 -0.3082142857142857
CHEMBL2391254.sdf -9.56 -0.34142857142857147
CHEMBL2391255.sdf -9.31 -0.31033333333333335
CHEMBL2391256.sdf -8.91 -0.2874193548387097
CHEMBL2391258.sdf -9.68 -0.28470588235294114
CHEMBL2391277.sdf -8.71 -0.3225925925925926
CHEMBL2391440.sdf -8.94 -0.279375
CHEMBL2391443.sdf -9.95 -0.3553571428571428
CHEMBL2391446.sdf -9.46 -0.31533333333333335
CHEMBL2391447.sdf -8.81 -0.26696969696969697
CHEMBL2391450.sdf -8.8 -0.275
CHEMBL2408791.sdf -8.64 -0.32
CHEMBL248928.sdf -8.83 -0.29433333333333334
CHEMBL249132.sdf -8.98 -0.29933333333333334
CHEMBL249338.sdf -8.85 -0.30517241379310345
CHEMBL249339.sdf -9.69 -0.33413793103448275
CHEMBL249537.sdf -9.95 -0.34310344827586203
CHEMBL249742.sdf -9.84 -0.328
CHEMBL250143.sdf -9.13 -0.3148275862068966
CHEMBL251772.sdf -8.92 -0.2703030303030303
CHEMBL3588871.sdf -9.23 -0.20511111111111113
CHEMBL3588922.sdf -12.15 -0.22090909090909092
CHEMBL3588923.sdf -9.95 -0.2618421052631579
CHEMBL3588924.sdf -11.12 -0.27799999999999997
CHEMBL3588925.sdf -9.35 -0.3339285714285714
CHEMBL3588926.sdf -9.43 -0.32517241379310347
CHEMBL3588927.sdf -9.13 -0.3148275862068966
CHEMBL3588928.sdf -9.56 -0.3186666666666667
CHEMBL3589946.sdf -10.24 -0.22755555555555557
CHEMBL3589947.sdf -10.45 -0.2375
CHEMBL3590070.sdf -10.83 -0.2518604651162791
CHEMBL3590071.sdf -10.24 -0.23813953488372094
CHEMBL3590073.sdf -11.57 -0.26906976744186045
CHEMBL3590074.sdf -10.79 -0.2509302325581395
CHEMBL3590075.sdf -10.32 -0.23454545454545456
CHEMBL3590206.sdf -9.99 -0.2938235294117647
CHEMBL3590207.sdf -9.75 -0.2867647058823529
CHEMBL3590208.sdf -10.37 -0.3240625
CHEMBL3590216.sdf -9.48 -0.2872727272727273
CHEMBL3590217.sdf -8.71 -0.25617647058823534
CHEMBL3727378.sdf -10.71 -0.34548387096774197
CHEMBL3727408.sdf -10.37 -0.3142424242424242
CHEMBL3727417.sdf -10.63 -0.31264705882352944
CHEMBL3727426.sdf -9.3 -0.30000000000000004
CHEMBL3727442.sdf -9.47 -0.35074074074074074
CHEMBL3727453.sdf -8.8 -0.29333333333333333
CHEMBL3727528.sdf -10.07 -0.3146875
CHEMBL3727532.sdf -10.26 -0.285
CHEMBL3727544.sdf -10.19 -0.3396666666666667
CHEMBL3727591.sdf -9.95 -0.34310344827586203
CHEMBL3727613.sdf -9.3 -0.290625
CHEMBL3727620.sdf -9.9 -0.28285714285714286
CHEMBL3727655.sdf -10.45 -0.26794871794871794
CHEMBL3727668.sdf -11.56 -0.31243243243243246
CHEMBL3727697.sdf -9.87 -0.2902941176470588
CHEMBL3727715.sdf -9.61 -0.2912121212121212
CHEMBL3727798.sdf -10.0 -0.3125
CHEMBL3727801.sdf -10.22 -0.29200000000000004
CHEMBL3727812.sdf -10.06 -0.3592857142857143
CHEMBL3727840.sdf -10.61 -0.342258064516129
CHEMBL3727847.sdf -10.6 -0.3212121212121212
CHEMBL3727911.sdf -9.58 -0.2521052631578947
CHEMBL3727975.sdf -10.31 -0.30323529411764705
CHEMBL3728007.sdf -11.15 -0.31857142857142856
CHEMBL3728012.sdf -10.34 -0.323125
CHEMBL3728062.sdf -9.68 -0.2616216216216216
CHEMBL3728092.sdf -11.04 -0.3247058823529412
CHEMBL3728119.sdf -8.54 -0.23081081081081078
CHEMBL3728125.sdf -9.56 -0.2811764705882353
CHEMBL3728133.sdf -8.63 -0.23972222222222225
CHEMBL3728150.sdf -10.89 -0.31114285714285717
CHEMBL3728166.sdf -10.1 -0.28857142857142853
CHEMBL3728174.sdf -10.55 -0.30142857142857143
CHEMBL3728190.sdf -9.8 -0.2882352941176471
CHEMBL3728237.sdf -9.85 -0.28970588235294115
CHEMBL3728238.sdf -10.48 -0.29942857142857143
CHEMBL3728252.sdf -9.72 -0.23707317073170733
CHEMBL3728279.sdf -10.31 -0.2945714285714286
CHEMBL3728297.sdf -9.76 -0.28705882352941176
CHEMBL3728341.sdf -11.61 -0.3225
CHEMBL3728342.sdf -10.88 -0.3296969696969697
CHEMBL3728344.sdf -9.51 -0.2717142857142857
CHEMBL3728352.sdf -10.31 -0.27131578947368423
CHEMBL3728360.sdf -10.27 -0.3112121212121212
CHEMBL3728370.sdf -9.68 -0.32266666666666666
CHEMBL3728389.sdf -10.83 -0.285
CHEMBL3728401.sdf -9.87 -0.2990909090909091
CHEMBL3728437.sdf -10.48 -0.2911111111111111
CHEMBL3728451.sdf -9.62 -0.2672222222222222
CHEMBL3728471.sdf -10.7 -0.3242424242424242
CHEMBL3728499.sdf -9.18 -0.2781818181818182
CHEMBL3728506.sdf -9.96 -0.31125
CHEMBL3728508.sdf -10.35 -0.2957142857142857
CHEMBL3728536.sdf -9.32 -0.3213793103448276
CHEMBL3728546.sdf -9.66 -0.301875
CHEMBL3728553.sdf -10.72 -0.28972972972972977
CHEMBL3728558.sdf -10.88 -0.29405405405405405
CHEMBL3728559.sdf -10.69 -0.3686206896551724
CHEMBL3728573.sdf -10.89 -0.3025
CHEMBL3728585.sdf -9.93 -0.331
CHEMBL3728603.sdf -10.16 -0.3628571428571429
CHEMBL3728604.sdf -10.05 -0.34655172413793106
CHEMBL3728613.sdf -10.51 -0.35033333333333333
CHEMBL3728644.sdf -10.41 -0.30617647058823527
CHEMBL3728649.sdf -10.22 -0.29200000000000004
CHEMBL3728708.sdf -10.32 -0.25170731707317073
CHEMBL3728716.sdf -9.46 -0.2556756756756757
CHEMBL3728722.sdf -10.44 -0.29828571428571427
CHEMBL3728739.sdf -11.0 -0.3235294117647059
CHEMBL3728753.sdf -11.67 -0.35363636363636364
CHEMBL3728768.sdf -10.7 -0.3242424242424242
CHEMBL3728769.sdf -10.9 -0.3303030303030303
CHEMBL3728771.sdf -9.67 -0.31193548387096776
CHEMBL3728781.sdf -9.81 -0.26513513513513515
CHEMBL3728805.sdf -10.18 -0.3084848484848485
CHEMBL3728809.sdf -8.97 -0.23605263157894738
CHEMBL3728826.sdf -10.64 -0.36689655172413793
CHEMBL3728830.sdf -9.38 -0.268
CHEMBL3728843.sdf -9.6 -0.3
CHEMBL3728852.sdf -10.2 -0.35172413793103446
CHEMBL3728857.sdf -8.85 -0.2681818181818182
CHEMBL3728870.sdf -9.93 -0.2837142857142857
CHEMBL3728883.sdf -9.91 -0.29147058823529415
CHEMBL3728932.sdf -10.31 -0.3325806451612903
CHEMBL3728947.sdf -9.61 -0.3003125
CHEMBL3728965.sdf -9.62 -0.300625
CHEMBL3729012.sdf -11.22 -0.33
CHEMBL3729013.sdf -10.45 -0.34833333333333333
CHEMBL3729027.sdf -9.22 -0.2561111111111111
CHEMBL3729032.sdf -11.27 -0.33147058823529413
CHEMBL3729034.sdf -10.49 -0.3496666666666667
CHEMBL3729077.sdf -9.31 -0.3003225806451613
CHEMBL3729082.sdf -9.3 -0.26571428571428574
CHEMBL3729083.sdf -10.03 -0.34586206896551724
CHEMBL3729111.sdf -9.99 -0.2854285714285714
CHEMBL3729170.sdf -11.11 -0.33666666666666667
CHEMBL3729198.sdf -9.78 -0.34928571428571425
CHEMBL3729208.sdf -9.71 -0.26243243243243247
CHEMBL3729214.sdf -10.32 -0.3685714285714286
CHEMBL3729228.sdf -9.91 -0.3096875
CHEMBL3729231.sdf -9.4 -0.29375
CHEMBL3729242.sdf -9.9 -0.309375
CHEMBL3729246.sdf -10.08 -0.3054545454545455
CHEMBL3729273.sdf -11.48 -0.3376470588235294
CHEMBL3729293.sdf -9.84 -0.3075
CHEMBL3729299.sdf -9.95 -0.28428571428571425
CHEMBL3729306.sdf -11.01 -0.30583333333333335
CHEMBL3729342.sdf -9.28 -0.2577777777777778
CHEMBL3729343.sdf -11.11 -0.3583870967741935
CHEMBL3729352.sdf -10.17 -0.29911764705882354
CHEMBL3729434.sdf -10.6 -0.33125
CHEMBL3729460.sdf -11.37 -0.33441176470588235
CHEMBL3729471.sdf -11.72 -0.3255555555555556
CHEMBL3729487.sdf -10.83 -0.361
CHEMBL3729493.sdf -11.38 -0.3075675675675676
CHEMBL3729500.sdf -10.07 -0.3472413793103448
CHEMBL3729542.sdf -10.9 -0.340625
CHEMBL3729543.sdf -10.49 -0.37464285714285717
CHEMBL3729585.sdf -10.05 -0.28714285714285714
CHEMBL3729615.sdf -10.64 -0.3129411764705883
CHEMBL3729626.sdf -10.14 -0.338
CHEMBL3729633.sdf -11.13 -0.3273529411764706
CHEMBL3729642.sdf -10.11 -0.2808333333333333
CHEMBL3729697.sdf -9.94 -0.2761111111111111
CHEMBL3729699.sdf -9.67 -0.29303030303030303
CHEMBL3729706.sdf -10.01 -0.27054054054054055
CHEMBL3729722.sdf -9.59 -0.28205882352941175
CHEMBL3729738.sdf -8.55 -0.225
CHEMBL3729752.sdf -9.54 -0.3289655172413793
CHEMBL3729758.sdf -10.9 -0.3027777777777778
CHEMBL3729765.sdf -9.84 -0.3174193548387097
CHEMBL3729805.sdf -11.03 -0.2981081081081081
CHEMBL3729806.sdf -8.92 -0.28774193548387095
CHEMBL3729807.sdf -11.5 -0.32857142857142857
CHEMBL3729813.sdf -10.35 -0.3234375
CHEMBL3729822.sdf -10.98 -0.343125
CHEMBL3729866.sdf -10.13 -0.33766666666666667
CHEMBL3729885.sdf -9.52 -0.27999999999999997
CHEMBL3729916.sdf -10.62 -0.354
CHEMBL3729988.sdf -10.38 -0.35793103448275865
CHEMBL3730013.sdf -10.31 -0.3221875
CHEMBL3730024.sdf -10.9 -0.35161290322580646
CHEMBL3730033.sdf -11.36 -0.37866666666666665
CHEMBL3730056.sdf -9.89 -0.2908823529411765
CHEMBL3730081.sdf -10.06 -0.30484848484848487
CHEMBL3730082.sdf -10.08 -0.2964705882352941
