ChEMBLID,Smiles,pChEMBL_Value,activity,Similarity
CHEMBL379761,CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C,7.389978975,active,100.0
CHEMBL379853,CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2cncnc2)n1C,6.602059991,partial_active,75.0
CHEMBL377169,CC(C)c1c(NC(=O)Nc2ccccc2Cl)c(=O)n(-c2ccccc2)n1C,5.0,partial_active,74.00000095
CHEMBL210298,Cc1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C,6.30980392,partial_active,73.46938848
CHEMBL210303,CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2cnc3ccccc3c2)n1C,7.096910013,partial_active,70.68965435
CHEMBL209995,CCc1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C,6.853871964,partial_active,69.23077106
CHEMBL377226,Cn1c(C(C)(C)C)c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n1-c1ccccc1,7.638272164,active,69.23077106
CHEMBL211957,Cc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(-c3ccccc3)c2=O)cc1F,7.091514981,partial_active,69.09090877
CHEMBL380160,Cc1c(NC(=O)Nc2ccc(C(C)C)cc2)c(=O)n(-c2ccccc2)n1C,4.910094889,inactive,67.30769277
CHEMBL377130,CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(C2=NCCS2)n1C,6.26760624,partial_active,63.79310489
CHEMBL386527,Cc1c(NC(=O)Nc2ccccc2)c(=O)n(-c2ccccc2)n1C,5.0,partial_active,60.00000238
CHEMBL450023,Cc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1,5.899629455,partial_active,59.61538553
CHEMBL211220,CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(-c3cncnc3)c2=O)cc1,7.366531544,active,57.62711763
CHEMBL377969,Cc1c(NC(=O)Nc2ccc(Br)cc2)c(=O)n(-c2ccccc2)n1C,7.045757491,partial_active,57.40740895
CHEMBL378707,Cc1c(NC(=O)Nc2ccc(F)cc2)c(=O)n(-c2ccccc2)n1C,5.314258261,partial_active,57.40740895
CHEMBL208884,Cc1c(NC(=O)Nc2ccc(I)cc2)c(=O)n(-c2ccccc2)n1C,7.522878745,active,57.40740895
CHEMBL209521,Cc1c(NC(=O)Nc2cccc(Cl)c2)c(=O)n(-c2ccccc2)n1C,5.0,partial_active,57.1428597
CHEMBL211555,CC(C)c1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(-c2cncnc2)n1C,6.823908741,partial_active,56.66666627
CHEMBL379762,CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(-c3cnc4ccccc4c3)c2=O)cc1,7.522878745,active,55.38461804
CHEMBL214216,CSc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1,6.769551079,partial_active,55.3571403
CHEMBL377642,COc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1,5.563837353,partial_active,55.3571403
CHEMBL378679,CCc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1,6.113509275,partial_active,55.3571403
CHEMBL380389,CC(C)c1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(-c2cnc3ccccc3c2)n1C,7.356547324,active,54.54545617
CHEMBL212116,Cc1c(NC(=O)Nc2ccc(C#N)cc2)c(=O)n(-c2ccccc2)n1C,5.431798276,partial_active,54.38596606
CHEMBL211885,Cc1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(-c2ccccc2)n1C,7.0,partial_active,54.38596606
CHEMBL210526,Cc1cc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)ccc1F,5.0,partial_active,53.44827771
CHEMBL378062,Cc1c(NC(=O)Nc2ccccc2Cl)c(=O)n(-c2ccccc2)n1C,5.0,partial_active,52.72727013
CHEMBL378064,CCn1c(C(C)C)c(NC(=O)Nc2ccc(C)c(F)c2)c(=O)n1-c1ccccc1,7.0,partial_active,52.38095522
CHEMBL212109,Cc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1F,6.008773924,partial_active,50.84745884
CHEMBL377163,CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(C3=NCCS3)c2=O)cc1,5.289882635,partial_active,49.23076928
CHEMBL210475,CC(C)c1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(C2=NCCS2)n1C,5.832682665,partial_active,48.48484993
CHEMBL209102,Cc1c(NC(=O)Nc2ccc3c(c2)OCO3)c(=O)n(-c2ccccc2)n1C,5.230622674,partial_active,48.38709533
CHEMBL212113,CCc1c(NC(=O)Nc2ccc(C)c(F)c2)c(=O)n(-c2ccccc2)n1C,6.508638306,partial_active,47.61904776
CHEMBL211595,Cc1ccc(NC(=O)Nc2c(C(C)(C)C)n(C)n(-c3ccccc3)c2=O)cc1F,7.080921908,partial_active,47.61904776
CHEMBL208979,Cc1c(NC(=O)Nc2nccs2)c(=O)n(-c2ccccc2)n1C,5.0,partial_active,43.54838729
CHEMBL552527,CSCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@H](CCSC)C(N)=O)C(C)C,9.0,active,
CHEMBL3728104,NC(=O)CCNC(=O)[C@H]1[C@H](C(=O)NCc2cnc(Br)s2)[C@@H]2C=C[C@H]1C21CC1,6.053547735,partial_active,
CHEMBL3727646,CCN(CC)CCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2C=C[C@H]1C21CC1,7.26760624,partial_active,
CHEMBL3728109,O=C(NCCF)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2C=C[C@H]1C21CC1,6.450996738,partial_active,
CHEMBL3590075,COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(F)cc3)CCCCC2)cc1,6.065501549,partial_active,
CHEMBL3730542,COc1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)c(OC)c1.O=CO,4.987162775,inactive,
CHEMBL3728133,COc1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)cc1Cl.O=CO,5.581698709,partial_active,
CHEMBL3590071,COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3cccnc3)CCCCC2)cc1,6.568636236,partial_active,
CHEMBL3590206,CCOC(=O)C1CCCN(C(=O)[C@H](Cc2ccccc2)NC(=O)Nc2ccc(Br)cc2)C1,8.15490196,active,
CHEMBL3588926,O=C(Nc1ccc(Br)cc1)N[C@@H](Cc1ccccc1)C(=O)N1CCCCC1,7.397940009,active,
CHEMBL3729765,Cc1ccc(NC(=O)[C@H]2[C@H](C(=O)NCCC(N)=O)[C@H]3C=C[C@@H]2C32CC2)nc1,6.48148606,partial_active,
CHEMBL3727408,O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Cl)nc2)[C@@H]2C=C[C@H]1C21CC1,8.795880017,active,
CHEMBL3729722,O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1,7.494850022,active,
CHEMBL3733330,NC(=O)CCNC(=O)[C@H]1[C@H](C(=O)NCc2ccc(Br)cn2)[C@@H]2C=C[C@H]1C21CC1,6.588380294,partial_active,
CHEMBL2391259,COc1cccc(Cc2cc(-c3ccccc3)nn(CC(=O)Nc3ccc4c(c3)OCO4)c2=O)c1,4.301029996,inactive,
CHEMBL3977012,CC(C)(O)c1coc(Cn2ncc(NC(=O)c3ncsc3-c3cccc(F)c3)n2)n1,7.084600165,partial_active,
