ChEMBLID;Smiles;Standard_Value;pChEMBL_Value
CHEMBL552527;CSCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@H](CCSC)C(N)=O)C(C)C;10;9
CHEMBL380389;CC(C)c1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(-c2cnc3ccccc3c2)n1C;440;7.356547324
CHEMBL379762;CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(-c3cnc4ccccc4c3)c2=O)cc1;300;7.522878745
CHEMBL3728104;NC(=O)CCNC(=O)[C@H]1[C@H](C(=O)NCc2cnc(Br)s2)[C@@H]2C=C[C@H]1C21CC1;8840;6.053547735
CHEMBL3727646;CCN(CC)CCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2C=C[C@H]1C21CC1;540;7.26760624
CHEMBL3728109;O=C(NCCF)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2C=C[C@H]1C21CC1;3540;6.450996738
CHEMBL3590072;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3cccnc3)CCCCC2)cc1;;#NUM!
CHEMBL3590075;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(F)cc3)CCCCC2)cc1;8600;6.065501549
CHEMBL379761;CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C;440;7.356547324
CHEMBL3589946;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(OC)cn3)CCCCC2)cc1;8800;6.055517328
CHEMBL3730542;COc1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)c(OC)c1.O=CO;103000;4.987162775
CHEMBL3728133;COc1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)cc1Cl.O=CO;26200;5.581698709
CHEMBL3588871;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(OC)cn3)CCCCC2)cc1;640;7.193820026
CHEMBL3590069;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccccc3)CCCCC2)cc1;;#NUM!
CHEMBL3590075;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(F)cc3)CCCCC2)cc1;11000;5.958607315
CHEMBL3589948;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccnc(F)c3)CCCCC2)cc1;;#NUM!
CHEMBL3590071;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3cccnc3)CCCCC2)cc1;2700;6.568636236
CHEMBL3590074;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccccn3)CCCCC2)cc1;4900;6.30980392
CHEMBL3590206;CCOC(=O)C1CCCN(C(=O)[C@H](Cc2ccccc2)NC(=O)Nc2ccc(Br)cc2)C1;70;8.15490196
CHEMBL3588926;O=C(Nc1ccc(Br)cc1)N[C@@H](Cc1ccccc1)C(=O)N1CCCCC1;400;7.397940009
CHEMBL3729765;Cc1ccc(NC(=O)[C@H]2[C@H](C(=O)NCCC(N)=O)[C@H]3C=C[C@@H]2C32CC2)nc1;3300;6.48148606
CHEMBL3727408;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Cl)nc2)[C@@H]2C=C[C@H]1C21CC1;16;8.795880017
CHEMBL3729722;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;320;7.494850022
CHEMBL3733330;NC(=O)CCNC(=O)[C@H]1[C@H](C(=O)NCc2ccc(Br)cn2)[C@@H]2C=C[C@H]1C21CC1;2580;6.588380294
CHEMBL2391259;COc1cccc(Cc2cc(-c3ccccc3)nn(CC(=O)Nc3ccc4c(c3)OCO4)c2=O)c1;500000;4.301029996
CHEMBL3977012;CC(C)(O)c1coc(Cn2ncc(NC(=O)c3ncsc3-c3cccc(F)c3)n2)n1;823;7.084600165
CHEMBL3981821;Cc1nc(C(=O)Nc2cnn(Cc3nc(C(C)(C)O)co3)n2)c(-c2cccc(F)c2)o1;132;7.879426069
CHEMBL3728190;Cc1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)cc1;460;7.337242168
CHEMBL3728012;CCN1CCCC1CNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;160;7.795880017
CHEMBL3731396;COCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;50;8.301029996
CHEMBL3732493;CC(C)(C)OC(=O)NCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;42;8.37675071
CHEMBL3729752;O=C(NCC(F)(F)F)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;24;8.619788758
CHEMBL3733084;O=C(NCC1CCCN1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;20;8.698970004
CHEMBL3731166;NCc1cccc(CNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)c1;6;9.259637311
CHEMBL3728165;COc1cc(F)c(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)c(F)c1.O=CO;9120;6.040005162
CHEMBL3730306;CC(C)(C)OC(=O)N1CCC(NC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1;2180;6.661543506
CHEMBL3730081;O=C(NCCCN1CCOCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;1560;6.806875402
CHEMBL3730424;NC(=O)CCNC(=O)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;2400;6.619788758
CHEMBL560780;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(I)cc3)c2=O)c1;18000;5.744727495
CHEMBL2391261;COc1ccc(Cc2cc(-c3cccs3)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)cc1;500000;4.301029996
CHEMBL2391450;COc1cccc(C(=O)Nc2cc(C)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)c1;28000;5.552841969
