SMILES,Title,pchembl_value,FPR2_activity,Similarity,docking score,glide gscore,glide ligand efficiency
[NH3+]C[C@H]1CC[C@@H](NC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1,CHEMBL3729012,-9.89,active,,-8.152,-8.153,-0.272
[NH3+]Cc1cccc(CNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)c1,CHEMBL3731166,-9.26,active,,-8.14,-8.183,-0.263
O=C(NCCCC[NH+]1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(C(F)(F)F)cc2)[C@@H]2CC[C@H]1C21CC1,CHEMBL3731308,-8.27,active,,-7.947,-7.947,-0.234
Cc1ccc(C2(CNC(=O)[C@H](Cc3ccc(C#N)cc3)NC(=O)Nc3ccc(F)cc3)CC2)cc1F,CHEMBL4169807,-5.77,partial_active,,-7.918,-7.918,-0.22
[NH3+]CCCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1,CHEMBL3727613,-9.8,active,,-7.875,-7.876,-0.281
O=C(N[C@H]1CC[C@@H](C[NH+]2CCCC2)CC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1,CHEMBL3729758,-8.68,active,,-7.844,-7.844,-0.231
[NH3+]Cc1ccc(CNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)cc1,CHEMBL3727801,-8.12,active,,-7.763,-7.805,-0.25
NCc1ccc(CNC(=O)[C@H]2[C@H](C(=O)Nc3ncc(Br)s3)[C@@H]3C=C[C@H]2C32CC2)cc1,CHEMBL3729184,-7.35,active,,-7.761,-7.804,-0.259
O=C(Nc1ccc(Br)cc1)N[C@@H]1CCN(C2CC[NH2+]CC2)C1=O,CHEMBL5075000,-6.64,partial_active,,-7.748,-7.748,-0.337
CC(C)c1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(C2=NCCS2)n1C,CHEMBL210475,-5.83,partial_active,48.485,-7.736,-7.736,-0.267
O=C(Nc1ccc(Br)cc1)N[C@@H]1CCN(CC2CC[NH2+]CC2)C1=O,CHEMBL5084374,-6.57,partial_active,,-7.658,-7.659,-0.319
O=C(Nc1ccc(Br)cc1)N[C@@H](Cc1ccccc1)C(=O)NN1CCCCNC1=O,CHEMBL3588929,-8.4,active,,-7.635,-7.635,-0.254
CNOC(=O)[C@@H]1CCN(C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)Nc2ccc(Br)cc2)C[C@H]1C,CHEMBL3588924,-6.52,partial_active,,-7.617,-7.617,-0.212
[NH3+]CCCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2CC[C@H]1C21CC1,CHEMBL3731107,-9.35,active,,-7.611,-7.611,-0.282
CCc1ccc2[nH]c(C(=O)N3CC[C@@H](n4c(CC)nc5ccccc54)C3)cc2c1,CHEMBL249742,-6.57,partial_active,,-7.604,-8.877,-0.262
